Hole ID,From,To,Lithology,2nd_lithology,comment
KC00-262,0,8,Fill,NA,NA
KC00-262,8,22.5,Silty Clay,NA,NA
BHC-91,0,11,Fill,NA,NA
BHC-92,11,18,Silty Clay,NA,NA
BG-SB1,0,4.4,Clay,NA,NA
BG-SB1,4.4,5.7,Sand,NA,NA
BG-SB1,5.7,6.5,Clay,NA,NA
BG-SB1,6.5,19.5,Sand,NA,NA
BG-SB1,19.5,29,Clay,NA,NA
BG-SB1,29,34,Sand,NA,NA
BG-SB1,34,35,Silt,NA,NA
BG-SB1,35,49,Sand,NA,NA
BG-SB1,49,55,Silty Clay,NA,NA
BG-SB1,55,60,Clay,NA,NA
BG-SB1,60,65,Sand,NA,NA
BG-SB2,0,0.5,Clay,NA,NA
BG-SB2,0.5,5,Sand,NA,NA
BG-SB2,5,6,Clay,NA,NA
BG-SB2,6,19,Sand,NA,NA
BG-SB2,19,29.5,Silty Clay,Clayey SLT,NA
BG-SB2,29.5,34,Clay,Slightly Silty,NA
BG-SB2,34,34.9,Sand,NA,NA
BG-SB2,34.9,44,Clay,NA,NA
BG-SB2,44,60,Sand,NA,NA
BG-SB3,0,3.5,Clay,NA,NA
BG-SB3,3.5,8.8,Sand,NA,NA
BG-SB3,8.8,34,Clay,NA,NA
BG-SB3,34,40,Sand,NA,NA
BG-SB3,40,44,Clayey Sand,Sandy Clay,NA
BG-SB3,44,55,Clay,NA,NA
MW-4,0,4,Clayey Sand,NA,NA
MW-4,4,13.6,Silty Clay,Sandy Clay,"at 8.1 it says ""same as above"" Sandy Clay"
MW-4,13.6,18,Clayey Sand,NA,NA
MW-4,18,30.7,Silty Clay,Sandy Clay,same comment as above on line 22.2
MW-4,30.7,31,Sand,NA,NA
MW-4,31,31.3,Sandy Clay,NA,NA
MW-4,31.3,44.6,Sand,NA,NA
MW-4,44.6,46.2,Silty Clay,NA,NA
MW-4,46.2,57.4,Clayey Sand,NA,NA
MW-4,57.4,60,Clayey Silt,NA,NA
MW-4,60,63.5,Clay,NA,NA
MW-6,0,5.3,Sandy Clay,NA,NA
