Hole ID,From,To,Lithology,2nd lithology,comment,Valid_Lith,fine_coarse,Sequence_Strat
MW-3,0,3.5,Clay,NA,NA,Clay,Fine,Clay II
MW-3,3.5,8.8,Sand,NA,NA,Sand,Coarse,Sand II
MW-3,8.8,34,Clay,NA,NA,Clay,Fine,Clay I
MW-3,34,40,Sand,NA,NA,Sand,Coarse,Sand I
MW-3,40,44,Clayey Sand,Sandy Clay,NA,Clayey Sand,Coarse,Clayey Sand I
MW-3,44,55,Clay,NA,NA,Clay,Fine,Basal Clay
MW-3,55,56,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
MW-2,0,0.5,Clay,NA,NA,Clay,Fine,Clay II
MW-2,0.5,5,Sand,NA,NA,Sand,Coarse,Clayey Sand IV
MW-2,5,6,Clay,NA,NA,Clay,Fine,Clayey Sand IV
MW-2,6,19,Sand,NA,NA,Sand,Coarse,Sand II
MW-2,19,29.5,Silty Clay,Clayey SLT,NA,Silty Clay,Fine,Clay I
MW-2,29.5,34,Clay,Slightly Silty,NA,Clay,Fine,Clayey Sand II
MW-2,34,34.9,Sand,NA,NA,Sand,Coarse,Clayey Sand II
MW-2,34.9,44,Clay,NA,NA,Clay,Fine,Clayey Sand II
MW-2,44,60,Sand,NA,NA,Sand,Coarse,Sand I
MW-2,60,61,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
MW-14,0,5,Silty clay with sand,NA,"check these close, they are hand written (MW14 and MW-15)",Silty clay,Fine,Clay II
MW-14,5,14,Silty sand,NA,NA,Sand,Coarse,Sand II
MW-14,14,27.4,Clay,NA,NA,Clay,Fine,Clay I
MW-14,27.4,34,Gray silty clay,NA,NA,Silty Clay,Fine,Clay I
MW-14,34,45,Gray salt & pepper sand,NA,really?,Sand,Coarse,Sand I
MW-14,45,55,Claystone,NA,NA,Claystone,Fine,Basal Clay
MW-14,55,56,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-48,0,4,Clay,NA,NA,Clay,Fine,Clay II
IP-48,4,12,Sand,NA,NA,Sand,Coarse,Sand II
IP-48,12,20,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-48,20,28,Clay,NA,NA,Clay,Fine,Clay I
IP-48,28,38,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-48,38,46,Sand,NA,NA,Sand,Coarse,Sand I
IP-48,46,47,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-47,0,4,Clay,NA,NA,Clay,Fine,Clay II
