"","Hole.ID","From","To","GW.ELEV"
"1","BG-MW01",104,114,6011.79
"2","IP-01",34,44,6033.23
"3","IP-02",34,44,6033.27
"4","IP-03",32,42,6033.55
"5","IP-04",32,42,6033.79
"6","IP-05",32,42,6033.54
"7","IP-06",32,42,6034.02
"8","IP-07",34,44,6033.42
"9","IP-08",34,44,6033.96
"10","IP-09",34,44,6034.25
"11","IP-10",30,40,6034.53
"12","IP-11",34,44,6034.66
"13","IP-12",34,44,6034.79
"14","IP-13",34,44,6034.69
"15","IP-14",30,40,6034.36
"16","IP-15",30,40,6034.52
"17","IP-16",30,40,6034.7
"18","IP-17",27,37,NA
"19","IP-18",34,44,6034.5
"20","IP-22",34,44,6035.32
"21","IP-23",32,42,6034.89
"22","IP-24",30,40,6034.21
"23","IP-25",32,42,6033.81
"24","IP-26",32,42,6033.19
"25","IP-27",30,40,6032.76
"26","IP-28",26,36,6032.66
"27","IP-29",30,40,6032.83
"28","IP-30",32,42,6032.33
"29","IP-31",32,42,6032.47
"30","IP-32",32,42,6033.12
"31","IP-33",36,46,6034.26
"32","IP-34",40,50,6034.8
"33","IP-35",38,48,6035.02
"34","IP-37",30,40,6064.22
"35","IP-38",34,44,6035.68
"36","IP-39",32,42,6036.73
"37","IP-40",34,44,6035.02
"38","IP-42",34,44,6034.6
"39","IP-43",36,46,6034.37
"40","IP-44",38,48,6036.88
"41","IP-45",42,52,6036.19
"42","IP-46",40,50,6033.92
"43","IP-47",38,48,6032.78
"44","IP-48",36,46,6033.65
"45","IP-49",40,50,6028.3
"46","IP-51",40,50,6027.65
"47","IP-52",42,52,6028.14
"48","IP-53",34,44,NA
"49","IP-54",42,52,6029.55
"50","IP-55",40,50,6030.84
"51","IP-56",40,50,6029.97
"52","MW-1 ",53.71,63.71,6029.96
"53","MW-2 ",52.15,62.15,6028.01
"54","MW-3 ",43.5,53.5,6015.77
"55","MW-4 ",NA,NA,6020.97
"56","MW-5 ",NA,NA,6000.39
"57","MW-6 ",NA,NA,6035.69
"58","MW-7 ",NA,NA,6034.84
"59","MW-8 ",NA,NA,6033.17
"60","MW-9 ",NA,NA,6033.94
"61","MW-10 ",51.19,61.19,6029.45
"62","MW-11 ",NA,NA,6022.06
"63","MW-12 ",NA,NA,6027.81
"64","MW-13 ",NA,NA,6031.64
"65","MW-14 ",48.27,58.27,6028.1
"66","MW-15 ",NA,NA,5998.05
