LOCATION,FULLNAME,SITE,ALIAS,TYPE,LABEL,CLASS,EVENT,ASSESS,NOTES,"NORTHING - 
STATE PLANE","EASTING - 
STATE PLANE",ELEV - TOC - NAVD88,ELEV - GRND - NAVD88,ELEV - PVC - NAVD88,ELEV - AMSL,YEAR
97BH-1,L1B-97BH-1,L1B-,-,SB,NA,SOIL BORING,RI,NA,NA,1647162.6,3258892.59,NA,NA,NA,6078.05,1999
BG-MW01,L1B-BG-MW01,L1B-,-,MW,01,MONITORING WELL,DGI,NA,GRND,1643374.0466666666,3260875.86,NA,NA,NA,NA,2005
CISTERN,L1B-CISTERN,L1B-,-,CS,NA,CISTERN,DGI,NA,CENTERLINE,1644360.23,3258045.76,NA,6025.66,NA,NA,2004
CP-2,L1B-CP-2,L1B-,-,CP,NA,CONTROL POINT,PDI,NA,CONTROL POINT - BRASS DISKS SET PREVIOUSLY AROUND ABANDONED MISSILE SILOS,1646978.97,3258985.638,NA,6080.21,NA,NA,2011
CP-3,L1B-CP-3,L1B-,-,CP,NA,CONTROL POINT,PDI,NA,CONTROL POINT - BRASS DISKS SET PREVIOUSLY AROUND ABANDONED MISSILE SILOS,1646645.22,3258787.35,NA,6081.13,NA,NA,2011
DD1,L1B-DD1,L1B-,-,SB,NA,DRAINAGE DITCH,RI,NA,NA,1647111.37,3259563.76,NA,NA,NA,6073.68,1999
DD2,L1B-DD2,L1B-,-,SB,NA,DRAINAGE DITCH,RI,NA,NA,1646961.97,3259574.46,NA,NA,NA,6076.11,1999
DD3,L1B-DD3,L1B-,-,SB,NA,DRAINAGE DITCH,RI,NA,NA,1646753.47,3259600.9,NA,NA,NA,6077.84,1999
DD4,L1B-DD4,L1B-,-,SS,NA,DRAINAGE DITCH,DGI,NA,NA,1647397.53,3259541.95,NA,6067.77,NA,NA,2004
DD5,L1B-DD5,L1B-,-,SS,NA,DRAINAGE DITCH,DGI,NA,NA,1647573.05,3259413.74,NA,6060.4,NA,NA,2004
DD6,L1B-DD6,L1B-,-,SS,NA,DRAINAGE DITCH,DGI,NA,NA,1647822.54,3259302.86,NA,6048.47,NA,NA,2004
DD7,L1B-DD7,L1B-,-,SS,NA,DRAINAGE DITCH,DGI,NA,NA,1647931.56,3259227.25,NA,6046.29,NA,NA,2004
"GPS base, Set #4 rebar, 2 hour OPUS","L1B-GPS base, Set #4 rebar, 2 hour OPUS",L1B-,-,CP,NA,CONTROL POINT,ISR,NA,NA,1647175.34,3258822.58,NA,6076.95,NA,NA,2014
H1,L1B-H1,L1B-,-,HP,NA,HYDROPUNCH,RI,NA,NA,1647235.93,3258873.69,NA,NA,NA,6077.35,1999
H10,L1B-H10,L1B-,-,HP,NA,HYDROPUNCH,RI,NA,NA,1646545.4,3259276.15,NA,NA,NA,6079.16,1999
H11,L1B-H11,L1B-,-,HP,NA,HYDROPUNCH,RI,NA,NA,1646515.37,3259708.96,NA,NA,NA,6080.28,1999
H12,L1B-H12,L1B-,-,HP,NA,HYDROPUNCH,RI,NA,NA,1646908.2,3259604.12,NA,NA,NA,6076.91,1999
