Hole ID,screen.top,screen.bottom,TOC ELEV,GW ELEV,depthGW,flatID
BG-MW01,104,114,6104.76,6011.79,92.97000000000025,Well
IP-01,34,44,6075.21,6033.2300000000005,41.97999999999956,Well
IP-02,34,44,6074.55,6033.27,41.279999999999745,Well
IP-03,36.039999999999964,46.039999999999964,6077.59,6033.55,44.039999999999964,Well
IP-04,34.56999999999971,44.56999999999971,6076.36,6033.79,42.56999999999971,Well
IP-05,32,42,6075.27,6033.540000000001,41.72999999999956,Well
IP-06,35.720000000000255,45.720000000000255,6077.74,6034.0199999999995,43.720000000000255,Well
IP-07,34,44,6076.83,6033.42,43.409999999999854,Well
IP-08,34,44,6077.35,6033.96,43.39000000000033,Well
IP-09,34,44,6077.39,6034.25,43.14000000000033,Well
IP-10,35.409999999999854,45.409999999999854,6077.94,6034.53,43.409999999999854,Well
IP-11,34,44,6077.25,6034.66,42.590000000000146,Well
IP-12,34,44,6077.2,6034.79,42.409999999999854,Well
IP-13,34,44,6077.41,6034.69,42.720000000000255,Well
IP-14,35.05000000000018,45.05000000000018,6077.41,6034.36,43.05000000000018,Well
IP-15,35.82999999999993,45.82999999999993,6078.35,6034.52,43.82999999999993,Well
IP-16,35.340000000000146,45.340000000000146,6078.04,6034.7,43.340000000000146,Well
IP-18,34,44,6077.78,6034.5,43.279999999999745,Well
IP-22,34,44,6079.07,6035.32,43.75,Well
IP-23,35.44999999999982,45.44999999999982,6078.34,6034.89,43.44999999999982,Well
IP-24,34.409999999999854,44.409999999999854,6076.62,6034.21,42.409999999999854,Well
IP-25,35.47999999999956,45.47999999999956,6077.29,6033.81,43.47999999999956,Well
IP-26,34.81999999999971,44.81999999999971,6076.01,6033.1900000000005,42.81999999999971,Well
IP-27,34.69999999999982,44.69999999999982,6075.46,6032.76,42.69999999999982,Well
IP-28,32.81999999999971,42.81999999999971,6073.48,6032.66,40.81999999999971,Well
IP-29,30,40,6071.31,6032.830000000001,38.47999999999956,Well
IP-30,32,42,6069.66,6032.33,37.32999999999993,Well
IP-31,32,42,6072.44,6032.469999999999,39.970000000000255,Well
IP-32,36.6899999999996,46.6899999999996,6077.81,6033.120000000001,44.6899999999996,Well
IP-33,36,46,6077.77,6034.26,43.51000000000022,Well
IP-34,40,50,6077.35,6034.8,42.55000000000018,Well
IP-35,38,48,6077.22,6035.02,42.19999999999982,Well
IP-37,30,40,6076.42,6064.22,12.199999999999818,Well
IP-38,34,44,6076.85,6035.68,41.17000000000007,Well
IP-39,34.73999999999978,44.73999999999978,6079.47,6036.7300000000005,42.73999999999978,Well
IP-40,34,44,6077.26,6035.02,42.23999999999978,Well
IP-42,34,44,6077.36,6034.5999999999995,42.76000000000022,Well
IP-43,36,46,6076.83,6034.37,42.460000000000036,Well
IP-44,38,48,6079.02,6036.88,42.14000000000033,Well
IP-45,42,52,6080.23,6036.19,44.039999999999964,Well
IP-46,40,50,6078.49,6033.92,44.56999999999971,Well
IP-47,38,48,6079.87,6032.78,47.090000000000146,Well
IP-48,36,46,6078.93,6033.6500000000005,45.279999999999745,Well
IP-49,42.56999999999971,52.56999999999971,6078.87,6028.3,50.56999999999971,Well
IP-51,40,50,6077.34,6027.6500000000005,49.6899999999996,Well
IP-52,44.11999999999989,54.11999999999989,6080.26,6028.14,52.11999999999989,Well
IP-54,45.659999999999854,55.659999999999854,6083.21,6029.55,53.659999999999854,Well
IP-55,43.789999999999964,53.789999999999964,6082.63,6030.84,51.789999999999964,Well
IP-56,44.94999999999982,54.94999999999982,6082.92,6029.97,52.94999999999982,Well
MW-1,53.71,63.71,6086.17,6029.96,56.210000000000036,Well
MW-10,51.15,61.15,6080.84,6028.01,52.82999999999993,Well
MW-11,58.59,68.59,6060.62,6015.7699999999995,44.850000000000364,Well
MW-12,69.62,79.62,6081.46,6020.97,60.48999999999978,Well
MW-13,69.48,79.48,6064.39,6000.39,64,Well
MW-14,48.15,58.15,6078.14,6035.6900000000005,42.44999999999982,Well
MW-15,53.11,63.11,6083.1,6034.84,48.26000000000022,Well
MW-2,52.11,62.11,6080.36,6033.17,47.1899999999996,Well
MW-3,43.43,53.43,6078.9,6033.94,44.960000000000036,Well
MW-4,56.09,66.09,6074.76,6029.45,45.3100000000004,Well
MW-6,76.18,86.18,6089.78,6027.8099999999995,61.970000000000255,Well
MW-7,54.870000000000005,64.87,6063.89,6031.64,32.25,Well
MW-8,59.489999999999995,69.49,6091.43,6028.1,63.32999999999993,Well
MW-9,19.85,29.85,6020.96,5998.05,22.909999999999854,Well
MW-5,38.63,48.63,6052.41,6022.0599999999995,30.350000000000364,Well
IP-41,34,44,6078.96,6036.01,42.94999999999982,Well
IP-21,34,44,6078.85,6035.27,43.57999999999993,Well
IP-36,34,44,6075.75,6034.83,40.92000000000007,Well
